指标,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元),国内游客(百万人次),城镇居民国内游客(百万人次),农村居民国内游客(百万人次),国内旅游总花费(亿元),城镇居民国内旅游总花费(亿元),农村居民国内旅游总花费(亿元),国内旅游人均花费(元),城镇居民国内旅游人均花费(元),农村居民国内旅游人均花费(元),旅客运输平均运距(公里),铁路旅客运输平均运距(公里),公路旅客运输平均运距(公里),水运旅客运输平均运距(公里),民用航空旅客运输平均运距(公里),旅客周转量(亿人公里),铁路旅客周转量(亿人公里),国家铁路旅客周转量(亿人公里),地方铁路旅客周转量(亿人公里),合资铁路旅客周转量(亿人公里),公路旅客周转量(亿人公里),水运旅客周转量(亿人公里),民用航空旅客周转量(亿人公里),旅行社数(个),星级饭店总数(个),入境游客(万人次),外国人入境游客(万人次),港澳同胞入境游客(万人次),台湾同胞入境游客(万人次),入境过夜游客(万人次),国内居民出境人数(万人次),国内居民因私出境人数(万人次),国内游客(万人次),国际旅游外汇收入(亿美元),国际旅游外汇收入(百万美元),国内旅游总花费(亿元),住宿和餐饮业法人企业数(个),住宿和餐饮业年末从业人数(万人),住宿和餐饮业营业额(亿元),住宿和餐饮业餐费收入(亿元),住宿和餐饮业餐饮营业面积(万平方米),住宿业法人企业数(个),住宿业年末从业人数(人),住宿业营业额(亿元),住宿业客房收入(亿元),住宿业餐费收入(亿元),住宿业客房数(万间),住宿业床位数(万位),住宿业餐饮营业面积(万平方米),餐饮业法人企业数(个),餐饮业年末从业人数(人),餐饮业营业额(亿元),餐饮业餐费收入(亿元),餐饮业餐饮营业面积(万平方米),社会消费品零售总额(亿元)
1981年,4933.7,4935.8,1545.7,2269,1121.1,497,,,,,,,,,,64.96,154.66,32.08,49.96,1249.97,2500,1472.63,1469.87,2.76,,839,137.81,50.16,,,776.71,67.52,,,376.7,,,,7.85,785,,,,,,,,,,,,,,,,,,,,2350
1982年,5380.5,5373.4,1761.7,2397.6,1214,533,,,,,,,,,,63.94,157.61,32.06,51.65,1336.61,2743,1574.84,1572,2.84,,963.86,144.54,59.51,,,792.43,76.45,,,392.4,,,,8.43,843,,,,,,,,,,,,,,,,,,,,2570
1983年,6043.8,6020.9,1960.9,2663,1397.1,588,,,,,,,,,,65.77,167.53,32.81,56.56,1506.19,3095,1776.51,1773.39,3.12,,1105.61,153.93,58.96,,,947.7,87.25,,,379.1,,,,9.41,941,,,,,,,,,,,,,,,,,,,,2849.4
1984年,7314.2,7278.5,2295.6,3124.7,1858.2,702,,,,,,,,,,68.27,180.53,34.25,59.11,1500.58,3620,2046.38,2043.15,3.23,,1336.94,153.53,83.16,,,1285.22,113.43,,,514.1,,,,11.31,1131,,,,,,,,,,,,,,,,,,,,3376.4
1985年,9123.6,9098.9,2541.7,3886.4,2670.8,866,,,,,,,,,,72,216,36,58,1563,4435.39,2416.14,2412.51,3.63,,1724.88,178.65,115.72,,,1783.31,137.05,,,713.3,,,,12.5,1250,,,,,,,,,,,,,,,,,,,,4305
1986年,10375.4,10376.2,2764.1,4515.1,3097,973,,,,,,,,,,71.15,238.23,36.41,52.96,1465.89,4896.51,2586.71,2583.11,3.6,,1981.74,182.06,146,,,2281.95,148.23,,,900.1,,,,15.31,1531,,,,,,,,,,,,,,,,,,,,4950
1987年,12166.6,12174.6,3204.5,5273.8,3696.3,1123,,,,,,,,,,72.55,252.76,36.9,50.3,1420.33,5415.47,2843.06,2840,3.06,,2190.43,195.92,186.06,,,2690.23,172.78,,,1076,,,,18.62,1862,,,,,,,,,,,,,,,,,,,,5820
1988年,15174.4,15180.4,3831.2,6607.2,4742,1378,,,,,,,,,,76.7,265.83,38.87,58.21,1504.22,6208.91,3260.31,3257.31,3,,2528.24,203.92,216.91,,,3169.48,184.22,,,1236.1,,,,22.47,2247,,,,,,,,,,,,,,,,,,,,7440
1989年,17188.4,17179.7,4228.2,7300.7,5650.8,1536,,,,,,,,,,76.76,266.9,41.3,59.25,1455.73,6074.56,3037.41,3034.37,3.04,,2662.11,188.27,186.77,,,2450.14,146.1,,,936.1,,,,18.6,1860,,,,,,,,,,,,,,,,,,,,8101.4
1990年,18923.3,18872.9,5017.2,7744.1,6111.6,1663,,,,,,,,,,73,273,40,61,1388,5628.4,2612.63,2610.1,2.53,,2620.32,164.91,230.48,,,2746.18,174.73,,,1048.4,,,,22.18,2218,,,,,,,,,,,,,,,,,,,,8300.1
